image_path,severity,severity_label,category,filename,dataset,task
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/spot/u1745.jpg,2,moderate,spot,u1745.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u1674.jpg,3,severe,slug,u1674.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u2007.jpg,3,severe,slug,u2007.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/healthy/h16.jpg,0,none,healthy,h16.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u2096.jpg,3,severe,slug,u2096.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/spot/u2746.jpg,2,moderate,spot,u2746.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u1089.jpg,3,severe,slug,u1089.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/curl/u3093.jpg,1,mild,curl,u3093.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u638.jpg,3,severe,slug,u638.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u1204.jpg,3,severe,slug,u1204.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u2559.jpg,3,severe,slug,u2559.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/spot/u2676.jpg,2,moderate,spot,u2676.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/healthy/h9.jpg,0,none,healthy,h9.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u2927.jpg,3,severe,slug,u2927.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/spot/u2181.jpg,2,moderate,spot,u2181.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/spot/u1898.jpg,2,moderate,spot,u1898.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u665.jpg,3,severe,slug,u665.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u1179.jpg,3,severe,slug,u1179.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u2625.jpg,3,severe,slug,u2625.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u2859.jpg,3,severe,slug,u2859.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u1086.jpg,3,severe,slug,u1086.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u1555.jpg,3,severe,slug,u1555.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u1500.jpg,3,severe,slug,u1500.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u1578.jpg,3,severe,slug,u1578.jpg,diamos,classification
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/diamos/leaves/slug/u2200.jpg,3,severe,slug,u2200.jpg,diamos,classification
