image_path,mask_path,disease_type,filename,split,dataset,task
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_powdery_mildew_Bing_0101.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_powdery_mildew_Bing_0101.png,wheat_powdery,wheat_powdery_mildew_Bing_0101.jpg,train,plantseg,segmentation
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_powdery_mildew_Bing_0127.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_powdery_mildew_Bing_0127.png,wheat_powdery,wheat_powdery_mildew_Bing_0127.jpg,train,plantseg,segmentation
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_powdery_mildew_Bing_0015.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_powdery_mildew_Bing_0015.png,wheat_powdery,wheat_powdery_mildew_Bing_0015.jpg,train,plantseg,segmentation
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_loose_smut_Google_0393.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_loose_smut_Google_0393.png,wheat_loose,wheat_loose_smut_Google_0393.jpg,train,plantseg,segmentation
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_powdery_mildew_Bing_0040.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_powdery_mildew_Bing_0040.png,wheat_powdery,wheat_powdery_mildew_Bing_0040.jpg,train,plantseg,segmentation
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_powdery_mildew_Bing_0006.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_powdery_mildew_Bing_0006.png,wheat_powdery,wheat_powdery_mildew_Bing_0006.jpg,train,plantseg,segmentation
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_powdery_mildew_Google_0299.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_powdery_mildew_Google_0299.png,wheat_powdery,wheat_powdery_mildew_Google_0299.jpg,train,plantseg,segmentation
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_loose_smut_Google_0223.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_loose_smut_Google_0223.png,wheat_loose,wheat_loose_smut_Google_0223.jpg,train,plantseg,segmentation
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_powdery_mildew_Baidu_0067.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_powdery_mildew_Baidu_0067.png,wheat_powdery,wheat_powdery_mildew_Baidu_0067.jpg,train,plantseg,segmentation
/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/images/train/wheat_powdery_mildew_Baidu_0035.jpg,/content/drive/MyDrive/intelligent_pesticide_system/data/raw/plantseg/annotations/train/wheat_powdery_mildew_Baidu_0035.png,wheat_powdery,wheat_powdery_mildew_Baidu_0035.jpg,train,plantseg,segmentation
