field_id,severity,infection_percentage,field_size,confidence,crop_type,source
REAL_FIELD_0000,2,39.89725666053424,27.8860019716915,0.8330952284589679,wheat,real_data_distribution
REAL_FIELD_0001,3,51.861379625760904,11.062288634455841,0.8961015428117022,wheat,real_data_distribution
REAL_FIELD_0002,3,48.651945102177685,12.105958449289098,0.9432529644288181,wheat,real_data_distribution
REAL_FIELD_0003,3,56.21122176603122,37.4139963506486,0.9027856776658325,wheat,real_data_distribution
REAL_FIELD_0004,3,60.17502815982368,42.77578828273032,0.922691246714345,wheat,real_data_distribution
REAL_FIELD_0005,3,60.369871480330744,26.319478983611962,0.9144828313377226,wheat,real_data_distribution
REAL_FIELD_0006,3,47.995015368111936,32.38711349503525,0.8907148291895968,wheat,real_data_distribution
REAL_FIELD_0007,3,70.92889514002955,7.576209687994552,0.8602868443012178,wheat,real_data_distribution
REAL_FIELD_0008,1,13.738132732052698,35.98174103927025,0.7091031317664437,wheat,real_data_distribution
REAL_FIELD_0009,3,43.94275250009107,19.15822983857035,0.8699811531132768,wheat,real_data_distribution
REAL_FIELD_0010,3,51.936672436679814,43.41322301219216,0.882173851342465,wheat,real_data_distribution
REAL_FIELD_0011,3,66.8483878415663,13.591448049188491,0.8569510549369658,wheat,real_data_distribution
REAL_FIELD_0012,2,39.20258516411773,43.391929749233654,0.8269535513164445,wheat,real_data_distribution
REAL_FIELD_0013,3,50.365452635253696,28.201819747276286,0.9195319871049722,wheat,real_data_distribution
REAL_FIELD_0014,2,33.924894592744806,28.86462526523269,0.8696715911997537,wheat,real_data_distribution
REAL_FIELD_0015,3,51.58870290063297,37.94532427163615,0.9173912729613556,wheat,real_data_distribution
REAL_FIELD_0016,3,79.82836778878655,18.46839658294506,0.9366412672285336,wheat,real_data_distribution
REAL_FIELD_0017,2,29.187997170877196,48.087894057493834,0.8941756828745735,wheat,real_data_distribution
REAL_FIELD_0018,3,77.26893169654156,40.99976767570536,0.8939776750685002,wheat,real_data_distribution
REAL_FIELD_0019,3,45.359627426173056,33.35932367428768,0.9302684828205847,wheat,real_data_distribution
REAL_FIELD_0020,3,54.890648933651164,24.58785140162457,0.8857025430512645,wheat,real_data_distribution
REAL_FIELD_0021,3,72.32163081267768,42.506449250798816,0.931569068917219,wheat,real_data_distribution
REAL_FIELD_0022,3,71.80354962893273,24.480982778820884,0.9138161977487658,wheat,real_data_distribution
REAL_FIELD_0023,3,58.4275173226571,41.28518631973606,0.9279807838900999,wheat,real_data_distribution
REAL_FIELD_0024,3,66.39752328742944,10.54128671792644,0.8578427466278444,wheat,real_data_distribution
REAL_FIELD_0025,2,42.77848697552474,32.72164104266842,0.8253167432081258,wheat,real_data_distribution
